source,target,weight,direction,sourceAltId,targetAltId,id
ACTA2,PDGFRB,0.1225,undirected,NA,NA,ACTA2-PDGFRB
ACTA2,HTRA1,0.1,undirected,NA,NA,ACTA2-HTRA1
ACTA2,TIMP2,0.1289,undirected,NA,NA,ACTA2-TIMP2
ACTA2,FSTL1,0.1177,undirected,NA,NA,ACTA2-FSTL1
ACTA2,GLT8D2,0.1019,undirected,NA,NA,ACTA2-GLT8D2
ACTA2,PODN,0.1068,undirected,NA,NA,ACTA2-PODN
ACTA2,OLFML1,0.1028,undirected,NA,NA,ACTA2-OLFML1
ACTA2,PTRF,0.1136,undirected,NA,NA,ACTA2-PTRF
ACVRL1,ADH1C,0.107,undirected,NA,NA,ACVRL1-ADH1C
ACVRL1,APLNR,0.1173,undirected,NA,NA,ACVRL1-APLNR
ACVRL1,AQP1,0.116,undirected,NA,NA,ACVRL1-AQP1
ACVRL1,BMP6,0.1117,undirected,NA,NA,ACVRL1-BMP6
ACVRL1,BMX,0.1196,undirected,NA,NA,ACVRL1-BMX
ACVRL1,CASQ2,0.1013,undirected,NA,NA,ACVRL1-CASQ2
ACVRL1,CAV1,0.1323,undirected,NA,NA,ACVRL1-CAV1
ACVRL1,CAV2,0.1012,undirected,NA,NA,ACVRL1-CAV2
ACVRL1,CD36,0.1041,undirected,NA,NA,ACVRL1-CD36
ACVRL1,CDH5,0.1195,undirected,NA,NA,ACVRL1-CDH5
ACVRL1,CDH6,0.1055,undirected,NA,NA,ACVRL1-CDH6
ACVRL1,CES1,0.106,undirected,NA,NA,ACVRL1-CES1
ACVRL1,AKR1C2,0.1039,undirected,NA,NA,ACVRL1-AKR1C2
ACVRL1,DPT,0.1001,undirected,NA,NA,ACVRL1-DPT
ACVRL1,DTX1,0.1066,undirected,NA,NA,ACVRL1-DTX1
ACVRL1,EBF1,0.1077,undirected,NA,NA,ACVRL1-EBF1
ACVRL1,EDNRB,0.1184,undirected,NA,NA,ACVRL1-EDNRB
ACVRL1,ENG,0.1098,undirected,NA,NA,ACVRL1-ENG
ACVRL1,EPAS1,0.1131,undirected,NA,NA,ACVRL1-EPAS1
ACVRL1,MECOM,0.1222,undirected,NA,NA,ACVRL1-MECOM
ACVRL1,F10,0.1057,undirected,NA,NA,ACVRL1-F10
ACVRL1,FHL1,0.1087,undirected,NA,NA,ACVRL1-FHL1
ACVRL1,ACKR1,0.1056,undirected,NA,NA,ACVRL1-ACKR1
ACVRL1,GDF10,0.1106,undirected,NA,NA,ACVRL1-GDF10
ACVRL1,GJA4,0.1336,undirected,NA,NA,ACVRL1-GJA4
ACVRL1,GPR4,0.1046,undirected,NA,NA,ACVRL1-GPR4
ACVRL1,GPX3,0.1058,undirected,NA,NA,ACVRL1-GPX3
ACVRL1,GSN,0.1032,undirected,NA,NA,ACVRL1-GSN
ACVRL1,GSTM5,0.1008,undirected,NA,NA,ACVRL1-GSTM5
ACVRL1,HYAL1,0.1269,undirected,NA,NA,ACVRL1-HYAL1
ACVRL1,ID1,0.1196,undirected,NA,NA,ACVRL1-ID1
ACVRL1,KDR,0.1249,undirected,NA,NA,ACVRL1-KDR
ACVRL1,MCAM,0.1093,undirected,NA,NA,ACVRL1-MCAM
ACVRL1,MEF2C,0.1019,undirected,NA,NA,ACVRL1-MEF2C
ACVRL1,MEOX1,0.1133,undirected,NA,NA,ACVRL1-MEOX1
ACVRL1,PDE2A,0.132,undirected,NA,NA,ACVRL1-PDE2A
ACVRL1,PDE1B,0.1125,undirected,NA,NA,ACVRL1-PDE1B
ACVRL1,PDK4,0.105,undirected,NA,NA,ACVRL1-PDK4
ACVRL1,FXYD1,0.102,undirected,NA,NA,ACVRL1-FXYD1
ACVRL1,PTPRB,0.1291,undirected,NA,NA,ACVRL1-PTPRB
ACVRL1,SCN4B,0.1061,undirected,NA,NA,ACVRL1-SCN4B
ACVRL1,SCN9A,0.1122,undirected,NA,NA,ACVRL1-SCN9A
ACVRL1,SLIT3,0.1066,undirected,NA,NA,ACVRL1-SLIT3
ACVRL1,TBX15,0.1014,undirected,NA,NA,ACVRL1-TBX15
ACVRL1,TEK,0.1328,undirected,NA,NA,ACVRL1-TEK
ACVRL1,TGFBR2,0.1148,undirected,NA,NA,ACVRL1-TGFBR2
ACVRL1,TIE1,0.1166,undirected,NA,NA,ACVRL1-TIE1
ACVRL1,TSPAN7,0.1024,undirected,NA,NA,ACVRL1-TSPAN7
ACVRL1,CLDN5,0.1203,undirected,NA,NA,ACVRL1-CLDN5
ACVRL1,CLEC3B,0.1189,undirected,NA,NA,ACVRL1-CLEC3B
ACVRL1,TNS1,0.1,undirected,NA,NA,ACVRL1-TNS1
ACVRL1,VWF,0.1164,undirected,NA,NA,ACVRL1-VWF
ACVRL1,XPNPEP2,0.11,undirected,NA,NA,ACVRL1-XPNPEP2
ACVRL1,FZD4,0.1106,undirected,NA,NA,ACVRL1-FZD4
ACVRL1,SRPX,0.1025,undirected,NA,NA,ACVRL1-SRPX
ACVRL1,SDPR,0.1023,undirected,NA,NA,ACVRL1-SDPR
ACVRL1,PPAP2A,0.1077,undirected,NA,NA,ACVRL1-PPAP2A
ACVRL1,MYOM1,0.1027,undirected,NA,NA,ACVRL1-MYOM1
ACVRL1,ALDH1A2,0.1086,undirected,NA,NA,ACVRL1-ALDH1A2
ACVRL1,LDB2,0.1258,undirected,NA,NA,ACVRL1-LDB2
ACVRL1,SH2D3C,0.1084,undirected,NA,NA,ACVRL1-SH2D3C
ACVRL1,CALCRL,0.1036,undirected,NA,NA,ACVRL1-CALCRL
ACVRL1,SPRY1,0.103,undirected,NA,NA,ACVRL1-SPRY1
ACVRL1,ABCA8,0.1017,undirected,NA,NA,ACVRL1-ABCA8
ACVRL1,KLF2,0.1004,undirected,NA,NA,ACVRL1-KLF2
ACVRL1,CORO2B,0.1167,undirected,NA,NA,ACVRL1-CORO2B
ACVRL1,RAPGEF3,0.1077,undirected,NA,NA,ACVRL1-RAPGEF3
ACVRL1,NES,0.1116,undirected,NA,NA,ACVRL1-NES
ACVRL1,LYVE1,0.1116,undirected,NA,NA,ACVRL1-LYVE1
ACVRL1,C10orf10,0.1033,undirected,NA,NA,ACVRL1-C10orf10
ACVRL1,CAPN11,0.1069,undirected,NA,NA,ACVRL1-CAPN11
ACVRL1,MGLL,0.1091,undirected,NA,NA,ACVRL1-MGLL
ACVRL1,ARHGEF15,0.1279,undirected,NA,NA,ACVRL1-ARHGEF15
ACVRL1,PDZD2,0.1003,undirected,NA,NA,ACVRL1-PDZD2
ACVRL1,ABCA6,0.1029,undirected,NA,NA,ACVRL1-ABCA6
ACVRL1,DAAM2,0.1032,undirected,NA,NA,ACVRL1-DAAM2
ACVRL1,ADGRA2,0.1124,undirected,NA,NA,ACVRL1-ADGRA2
ACVRL1,LHX6,0.1182,undirected,NA,NA,ACVRL1-LHX6
ACVRL1,ANGPTL4,0.1023,undirected,NA,NA,ACVRL1-ANGPTL4
ACVRL1,CLEC1A,0.114,undirected,NA,NA,ACVRL1-CLEC1A
ACVRL1,PCDH12,0.1091,undirected,NA,NA,ACVRL1-PCDH12
ACVRL1,EMCN,0.1048,undirected,NA,NA,ACVRL1-EMCN
ACVRL1,ROBO4,0.1356,undirected,NA,NA,ACVRL1-ROBO4
ACVRL1,RASIP1,0.1135,undirected,NA,NA,ACVRL1-RASIP1
ACVRL1,TESC,0.1023,undirected,NA,NA,ACVRL1-TESC
ACVRL1,TMEM100,0.1037,undirected,NA,NA,ACVRL1-TMEM100
ACVRL1,LIMS2,0.1062,undirected,NA,NA,ACVRL1-LIMS2
ACVRL1,THSD1,0.1244,undirected,NA,NA,ACVRL1-THSD1
ACVRL1,NDUFA4L2,0.1094,undirected,NA,NA,ACVRL1-NDUFA4L2
ACVRL1,SEMA3G,0.1101,undirected,NA,NA,ACVRL1-SEMA3G
ACVRL1,DOCK6,0.1022,undirected,NA,NA,ACVRL1-DOCK6
ACVRL1,KIF17,0.1059,undirected,NA,NA,ACVRL1-KIF17
ACVRL1,JAM2,0.1085,undirected,NA,NA,ACVRL1-JAM2
ACVRL1,SOX17,0.1198,undirected,NA,NA,ACVRL1-SOX17
ACVRL1,ARAP3,0.1197,undirected,NA,NA,ACVRL1-ARAP3
ACVRL1,MMP28,0.1006,undirected,NA,NA,ACVRL1-MMP28
ACVRL1,LINC00341,0.1082,undirected,NA,NA,ACVRL1-LINC00341
ACVRL1,FAM124B,0.1166,undirected,NA,NA,ACVRL1-FAM124B
ACVRL1,SVEP1,0.1078,undirected,NA,NA,ACVRL1-SVEP1
ACVRL1,MYCT1,0.125,undirected,NA,NA,ACVRL1-MYCT1
ACVRL1,SLC35G2,0.1057,undirected,NA,NA,ACVRL1-SLC35G2
ACVRL1,PLVAP,0.1054,undirected,NA,NA,ACVRL1-PLVAP
ACVRL1,SOX7,0.1153,undirected,NA,NA,ACVRL1-SOX7
ACVRL1,CCDC3,0.1118,undirected,NA,NA,ACVRL1-CCDC3
ACVRL1,COX4I2,0.1035,undirected,NA,NA,ACVRL1-COX4I2
ACVRL1,ATOH8,0.1084,undirected,NA,NA,ACVRL1-ATOH8
ACVRL1,SHANK3,0.114,undirected,NA,NA,ACVRL1-SHANK3
ACVRL1,ESAM,0.1229,undirected,NA,NA,ACVRL1-ESAM
ACVRL1,TMEM88,0.1184,undirected,NA,NA,ACVRL1-TMEM88
ACVRL1,CYGB,0.1201,undirected,NA,NA,ACVRL1-CYGB
ACVRL1,GPR146,0.1109,undirected,NA,NA,ACVRL1-GPR146
ACVRL1,RAB3C,0.1131,undirected,NA,NA,ACVRL1-RAB3C
ACVRL1,CYYR1,0.1178,undirected,NA,NA,ACVRL1-CYYR1
ACVRL1,GIPC3,0.1032,undirected,NA,NA,ACVRL1-GIPC3
ACVRL1,HSPB6,0.104,undirected,NA,NA,ACVRL1-HSPB6
ACVRL1,FAM43A,0.1125,undirected,NA,NA,ACVRL1-FAM43A
ACVRL1,EGFLAM,0.1053,undirected,NA,NA,ACVRL1-EGFLAM
ACVRL1,GRASP,0.1127,undirected,NA,NA,ACVRL1-GRASP
ACVRL1,CLEC14A,0.1144,undirected,NA,NA,ACVRL1-CLEC14A
ACVRL1,ZNF366,0.1178,undirected,NA,NA,ACVRL1-ZNF366
ACVRL1,ADCY4,0.1238,undirected,NA,NA,ACVRL1-ADCY4
ACVRL1,FAM13C,0.1089,undirected,NA,NA,ACVRL1-FAM13C
ACVRL1,ADGRF5,0.1234,undirected,NA,NA,ACVRL1-ADGRF5
ACVRL1,EBF3,0.1088,undirected,NA,NA,ACVRL1-EBF3
ACVRL1,BCL6B,0.1161,undirected,NA,NA,ACVRL1-BCL6B
ACVRL1,KANK3,0.1272,undirected,NA,NA,ACVRL1-KANK3
