"";"from";"to";"value"
"326933";"1001";"315";1
"327237";"267";"316";1
"328156";"148";"317";1
"329139";"93";"318";1
"329344";"298";"318";1
"330512";"428";"319";1
"330521";"437";"319";1
"330750";"666";"319";1
"330972";"888";"319";1
"331282";"160";"320";1
"331411";"289";"320";1
"331648";"526";"320";1
"331907";"785";"320";1
"332161";"1";"321";1
"332180";"20";"321";1
"332611";"451";"321";1
"332780";"620";"321";1
"332826";"666";"321";1
"333383";"185";"322";1
"333409";"211";"322";1
"333489";"291";"322";1
"333863";"665";"322";1
"333873";"675";"322";1
"333946";"748";"322";1
"333971";"773";"322";1
"335417";"143";"324";1
"336057";"783";"324";1
"336369";"57";"325";1
"336464";"152";"325";1
"336512";"200";"325";1
"336791";"479";"325";1
"336888";"576";"325";1
"337442";"92";"326";1
"337665";"315";"326";1
"337742";"392";"326";1
"338107";"757";"326";1
"338117";"767";"326";1
"338351";"1001";"326";1
"338724";"336";"327";1
"338734";"346";"327";1
"339200";"812";"327";1
"339211";"823";"327";1
"339251";"863";"327";1
"339310";"922";"327";1
"339407";"1019";"327";1
"339904";"478";"328";1
"340032";"606";"328";1
"340153";"727";"328";1
"341006";"542";"329";1
"341096";"632";"329";1
"341108";"644";"329";1
"341517";"15";"330";1
"341905";"403";"330";1
"341927";"425";"330";1
"342545";"5";"331";1
"342658";"118";"331";1
"342798";"258";"331";1
"342956";"416";"331";1
"342969";"429";"331";1
"343260";"720";"331";1
"343438";"898";"331";1
"343703";"125";"332";1
"343866";"288";"332";1
"343916";"338";"332";1
"344050";"472";"332";1
"344176";"598";"332";1
"344379";"801";"332";1
"344643";"27";"333";1
"344734";"118";"333";1
"344797";"181";"333";1
"344839";"223";"333";1
"344872";"256";"333";1
"344887";"271";"333";1
"346571";"917";"334";1
"346724";"32";"335";1
"346957";"265";"335";1
"347550";"858";"335";1
"347642";"950";"335";1
"347973";"243";"336";1
"348105";"375";"336";1
"348429";"699";"336";1
"348661";"931";"336";1
"348798";"30";"337";1
"349493";"725";"337";1
"349645";"877";"337";1
"349890";"84";"338";1
"350146";"340";"338";1
"350260";"454";"338";1
"350278";"472";"338";1
"350321";"515";"338";1
"350577";"771";"338";1
"350598";"792";"338";1
"350675";"869";"338";1
"351081";"237";"339";1
"351151";"307";"339";1
"351154";"310";"339";1
"351660";"816";"339";1
"351933";"51";"340";1
"351957";"75";"340";1
"352416";"534";"340";1
"352756";"874";"340";1
"352877";"995";"340";1
"353112";"192";"341";1
"353212";"292";"341";1
"353322";"402";"341";1
"353766";"846";"341";1
"353779";"859";"341";1
"353918";"998";"341";1
"354080";"122";"342";1
"354583";"625";"342";1
"354797";"839";"342";1
"355439";"443";"343";1
"355455";"459";"343";1
"355649";"653";"343";1
"355909";"913";"343";1
"356278";"244";"344";1
"356971";"937";"344";1
"357013";"979";"344";1
"357080";"8";"345";1
"357162";"90";"345";1
"357204";"132";"345";1
"357500";"428";"345";1
"357819";"747";"345";1
"358162";"52";"346";1
"358437";"327";"346";1
"358922";"812";"346";1
"359129";"1019";"346";1
"360287";"101";"348";1
"360520";"334";"348";1
"360696";"510";"348";1
"361036";"850";"348";1
"361726";"502";"349";1
"362147";"923";"349";1
"362410";"148";"350";1
"362579";"317";"350";1
"362726";"464";"350";1
"363301";"1";"351";1
"363493";"193";"351";1
"363515";"215";"351";1
"363786";"486";"351";1
"364509";"171";"352";1
"365161";"823";"352";1
"365564";"188";"353";1
"365696";"320";"353";1
"365718";"342";"353";1
"365732";"356";"353";1
"366105";"729";"353";1
"366263";"887";"353";1
"366679";"265";"354";1
"366878";"464";"354";1
"367419";"1005";"354";1
"367997";"545";"355";1
"368057";"605";"355";1
"368155";"703";"355";1
"368331";"879";"355";1
"368791";"301";"356";1
"368843";"353";"356";1
"368883";"393";"356";1
"368884";"394";"356";1
"369146";"656";"356";1
"370419";"891";"357";1
"370550";"1022";"357";1
"370819";"253";"358";1
"370985";"419";"358";1
"371400";"834";"358";1
"371690";"86";"359";1
"371989";"385";"359";1
"372011";"407";"359";1
"372026";"422";"359";1
"372733";"91";"360";1
"372761";"119";"360";1
"372841";"199";"360";1
"372888";"246";"360";1
"374512";"832";"361";1
"374858";"140";"362";1
"374859";"141";"362";1
"375117";"399";"362";1
"375321";"603";"362";1
"375666";"948";"362";1
"375691";"973";"362";1
"375714";"996";"362";1
"376631";"875";"363";1
"376879";"85";"364";1
"376985";"191";"364";1
"377185";"391";"364";1
"377189";"395";"364";1
"377376";"582";"364";1
"377379";"585";"364";1
"377516";"722";"364";1
"378256";"424";"365";1
"378606";"774";"365";1
"378755";"923";"365";1
"380618";"710";"367";1
"380797";"889";"367";1
"380975";"29";"368";1
"381022";"76";"368";1
"381061";"115";"368";1
"381735";"789";"368";1
"381872";"926";"368";1
"382149";"165";"369";1
"382774";"790";"369";1
"382794";"810";"369";1
"382909";"925";"369";1
"383581";"559";"370";1
"384359";"299";"371";1
"384761";"701";"371";1
"385564";"466";"372";1
"385571";"473";"372";1
"386612";"476";"373";1
"386912";"776";"373";1
"387118";"982";"373";1
"387316";"142";"374";1
"387658";"484";"374";1
"388408";"196";"375";1
"388455";"243";"375";1
"388548";"336";"375";1
"388911";"699";"375";1
"389097";"885";"375";1
"389143";"931";"375";1
"389492";"242";"376";1
"389890";"640";"376";1
"390161";"911";"376";1
"390319";"31";"377";1
"391773";"447";"378";1
"391800";"474";"378";1
"391922";"596";"378";1
"392003";"677";"378";1
"392006";"680";"378";1
"392262";"936";"378";1
"392320";"994";"378";1
"393270";"906";"379";1
"393869";"467";"380";1
"393962";"560";"380";1
"394023";"621";"380";1
"394238";"836";"380";1
"394892";"452";"381";1
"395168";"728";"381";1
"395257";"817";"381";1
"395318";"878";"381";1
"395549";"71";"382";1
"395560";"82";"382";1
"395695";"217";"382";1
"395951";"473";"382";1
"396254";"776";"382";1
"396255";"777";"382";1
"396561";"45";"383";1
"396721";"205";"383";1
"396748";"232";"383";1
"397046";"530";"383";1
"397198";"682";"383";1
"397649";"95";"384";1
"398241";"687";"384";1
"398243";"689";"384";1
"398877";"285";"385";1
"398906";"314";"385";1
"399647";"17";"386";1
"399796";"166";"386";1
"400046";"416";"386";1
"401562";"894";"387";1
"401717";"11";"388";1
"401965";"259";"388";1
"402401";"695";"388";1
"402486";"780";"388";1
"402707";"1001";"388";1
"402932";"188";"389";1
"403092";"348";"389";1
"403288";"544";"389";1
"403292";"548";"389";1
"403301";"557";"389";1
"403400";"656";"389";1
"403665";"921";"389";1
"403738";"994";"389";1
"403775";"1031";"389";1
"404078";"296";"390";1
"404377";"595";"390";1
"404769";"987";"390";1
"404905";"85";"391";1
"405011";"191";"391";1
"405184";"364";"391";1
"405215";"395";"391";1
"405405";"585";"391";1
"405691";"871";"391";1
"405924";"66";"392";1
"405950";"92";"392";1
"406162";"304";"392";1
"406184";"326";"392";1
"406555";"697";"392";1
"406615";"757";"392";1
"406641";"783";"392";1
"406700";"842";"392";1
"406767";"909";"392";1
"407252";"356";"393";1
"407503";"607";"393";1
"407552";"656";"393";1
"408032";"98";"394";1
"408103";"169";"394";1
"408188";"254";"394";1
"408235";"301";"394";1
"409057";"85";"395";1
"409163";"191";"395";1
"409336";"364";"395";1
"409363";"391";"395";1
"409557";"585";"395";1
"409694";"722";"395";1
"409843";"871";"395";1
"410009";"1037";"395";1
"410178";"168";"396";1
"410318";"308";"396";1
"410368";"358";"396";1
"410411";"401";"396";1
"410517";"507";"396";1
"410844";"834";"396";1
"411543";"495";"397";1
"411909";"861";"397";1
"412360";"274";"398";1
"412491";"405";"398";1
"412703";"617";"398";1
"412972";"886";"398";1
"413136";"12";"399";1
"413191";"67";"399";1
"413212";"88";"399";1
"413406";"282";"399";1
"413773";"649";"399";1
"415060";"898";"400";1
"415122";"960";"400";1
"415374";"174";"401";1
"415508";"308";"401";1
"415512";"312";"401";1
"415941";"741";"401";1
"416737";"499";"402";1
"417291";"15";"403";1
"417606";"330";"403";1
"417850";"574";"403";1
"418123";"847";"403";1
"418610";"296";"404";1
"418704";"390";"404";1
"418859";"545";"404";1
"418958";"644";"404";1
"419243";"929";"404";1
"419285";"971";"404";1
"419301";"987";"404";1
"419626";"274";"405";1
"419750";"398";"405";1
"419969";"617";"405";1
"420238";"886";"405";1
"421084";"694";"406";1
"421713";"285";"407";1
"421787";"359";"407";1
"421850";"422";"407";1
"422416";"988";"407";1
"422884";"418";"408";1
"423260";"794";"408";1
"423275";"809";"408";1
"424358";"854";"409";1
"425033";"491";"410";1
"425144";"602";"410";1
"425390";"848";"410";1
"425391";"849";"410";1
"425644";"64";"411";1
"425738";"158";"411";1
"425859";"279";"411";1
"426101";"521";"411";1
"426342";"762";"411";1
"426375";"795";"411";1
"426524";"944";"411";1
"426612";"1032";"411";1
"427261";"643";"412";1
"427609";"991";"412";1
"427792";"136";"413";1
"427811";"155";"413";1
"428280";"624";"413";1
"428314";"658";"413";1
"428640";"984";"413";1
"429043";"349";"414";1
"429514";"820";"414";1
"429812";"80";"415";1
"429879";"147";"415";1
"430018";"286";"415";1
"430133";"401";"415";1
"430219";"487";"415";1
"430787";"17";"416";1
"430902";"132";"416";1
"430936";"166";"416";1
"431156";"386";"416";1
"431484";"714";"416";1
"431490";"720";"416";1
"431994";"186";"417";1
"432744";"936";"417";1
"432761";"953";"417";1
"432874";"28";"418";1
"433254";"408";"418";1
"433418";"572";"418";1
"433640";"794";"418";1
"433655";"809";"418";1
"434137";"253";"419";1
"434280";"396";"419";1
"434391";"507";"419";1
"434474";"590";"419";1
"434586";"702";"419";1
"434714";"830";"419";1
"434718";"834";"419";1
"434940";"18";"420";1
"435334";"412";"420";1
"435454";"532";"420";1
"435647";"725";"420";1
"435899";"977";"420";1
"436510";"550";"421";1
"436825";"865";"421";1
"436959";"999";"421";1
"437084";"86";"422";1
"437357";"359";"422";1
"437405";"407";"422";1
"438133";"97";"423";1
"438341";"305";"423";1
"438514";"478";"423";1
"438655";"619";"423";1
"439147";"73";"424";1
"439439";"365";"424";1
"440156";"44";"425";1
"440173";"61";"425";1
"440249";"137";"425";1
"440442";"330";"425";1
"441247";"97";"426";1
"442012";"862";"426";1
"442325";"137";"427";1
"442464";"276";"427";1
"442518";"330";"427";1
"442617";"429";"427";1
"442679";"491";"427";1
"443596";"370";"428";1
"444594";"330";"429";1
"444691";"427";"429";1
"445421";"119";"430";1
"445597";"295";"430";1
"446064";"762";"430";1
"446097";"795";"430";1
"446246";"944";"430";1
"446819";"479";"431";1
"446911";"571";"431";1
"447272";"932";"431";1
"447432";"54";"432";1
"447890";"512";"432";1
"448061";"683";"432";1
"448204";"826";"432";1
"448511";"95";"433";1
"448617";"201";"433";1
"449105";"689";"433";1
"449244";"828";"433";1
"449268";"852";"433";1
"449560";"106";"434";1
"449621";"167";"434";1
"449702";"248";"434";1
"449748";"294";"434";1
"450554";"62";"435";1
"450673";"181";"435";1
"451279";"787";"435";1
"451566";"36";"436";1
"452303";"773";"436";1
"452591";"23";"437";1
"452798";"230";"437";1
"452887";"319";"437";1
"452996";"428";"437";1
"453236";"668";"437";1
"453456";"888";"437";1
"455102";"458";"439";1
"455180";"536";"439";1
"455370";"726";"439";1
"455458";"814";"439";1
"455776";"94";"440";1
"456370";"688";"440";1
"456569";"887";"440";1
"456651";"969";"440";1
"457421";"701";"441";1
"457660";"940";"441";1
"457772";"14";"442";1
"458004";"246";"442";1
"458428";"670";"442";1
"458599";"841";"442";1
"458624";"866";"442";1
"459139";"343";"443";1
"459255";"459";"443";1
"459449";"653";"443";1
"459709";"913";"443";1
"459840";"6";"444";1
"460144";"310";"444";1
"460776";"942";"444";1
"460939";"67";"445";1
"461088";"216";"445";1
"461534";"662";"445";1
"461913";"3";"446";1
"462159";"249";"446";1
"462215";"305";"446";1
"463396";"448";"447";1
"463496";"548";"447";1
"463607";"659";"447";1
"464556";"570";"448";1
"464645";"659";"448";1
"464703";"717";"448";1
"465065";"41";"449";1
"465621";"597";"449";1
"466069";"7";"450";1
"466109";"47";"450";1
"466182";"120";"450";1
"466191";"129";"450";1
"466259";"197";"450";1
"466276";"214";"450";1
"466472";"410";"450";1
"466523";"461";"450";1
"466582";"520";"450";1
"467120";"20";"451";1
"467402";"302";"451";1
"467720";"620";"451";1
"468519";"381";"452";1
"468689";"551";"452";1
"468955";"817";"452";1
"469016";"878";"452";1
"469254";"78";"453";1
"469682";"506";"453";1
"469779";"603";"453";1
"469843";"667";"453";1
"469931";"755";"453";1
"470149";"973";"453";1
"470157";"981";"453";1
"470249";"35";"454";1
"470412";"198";"454";1
"470552";"338";"454";1
"470749";"535";"454";1
"470985";"771";"454";1
"471065";"851";"454";1
"472324";"34";"456";1
"472839";"549";"456";1
"473386";"58";"457";1
"473741";"413";"457";1
"473850";"522";"457";1
"474277";"949";"457";1
"474372";"6";"458";1
"474810";"444";"458";1
"474978";"612";"458";1
"475180";"814";"458";1
"475210";"844";"458";1
"475347";"981";"458";1
"475646";"242";"459";1
"475747";"343";"459";1
"475847";"443";"459";1
"476057";"653";"459";1
"476124";"720";"459";1
"476317";"913";"459";1
"476511";"69";"460";1
"476926";"484";"460";1
"477268";"826";"460";1
"477527";"47";"461";1
"477677";"197";"461";1
"478000";"520";"461";1
"478384";"904";"461";1
"479623";"67";"463";1
"479755";"199";"463";1
"480388";"832";"463";1
"480701";"107";"464";1
"480742";"148";"464";1
"481255";"661";"464";1
"481801";"169";"465";1
"482184";"552";"465";1
"482373";"741";"465";1
"482747";"77";"466";1
"483042";"372";"466";1
"483874";"166";"467";1
"484088";"380";"467";1
"484094";"386";"467";1
"484268";"560";"467";1
"484276";"568";"467";1
"484422";"714";"467";1
"485019";"273";"468";1
"485559";"813";"468";1
"486801";"1017";"469";1
"487085";"263";"470";1
"487199";"377";"470";1
"487318";"496";"470";1
"487570";"748";"470";1
"487726";"904";"470";1
"487729";"907";"470";1
"488035";"175";"471";1
"488266";"406";"471";1
"488700";"840";"471";1
"488819";"959";"471";1
"489258";"360";"472";1
"489630";"732";"472";1
"489982";"46";"473";1
"490061";"125";"473";1
"490308";"372";"473";1
"490517";"581";"473";1
"490527";"591";"473";1
"491032";"58";"474";1
"491352";"378";"474";1
"491875";"901";"474";1
"491923";"949";"474";1
"493022";"1010";"475";1
"493026";"1014";"475";1
"493226";"176";"476";1
"493342";"292";"476";1
"493603";"553";"476";1
"493949";"899";"476";1
"493964";"914";"476";1
"494032";"982";"476";1
"494670";"582";"477";1
"494766";"678";"477";1
"495375";"249";"478";1
"495454";"328";"478";1
"495549";"423";"478";1
"495931";"805";"478";1
"495979";"853";"478";1
"496595";"431";"479";1
"496705";"541";"479";1
"496735";"571";"479";1
"496818";"654";"479";1
"496966";"802";"479";1
"497212";"10";"480";1
"497313";"111";"480";1
"497690";"488";"480";1
"497755";"553";"480";1
"498000";"798";"480";1
"498262";"22";"481";1
"498347";"107";"481";1
"498704";"464";"481";1
"499771";"493";"482";1
"499870";"592";"482";1
"500028";"750";"482";1
"500077";"799";"482";1
"500097";"819";"482";1
"500422";"106";"483";1
"500651";"335";"483";1
"500810";"494";"483";1
"500859";"543";"483";1
"501814";"460";"484";1
"502273";"919";"484";1
"503169";"777";"485";1
"503431";"1";"486";1
"503645";"215";"486";1
"503892";"462";"486";1
"504652";"184";"487";1
"504736";"268";"487";1
"504883";"415";"487";1
"505220";"752";"487";1
"505505";"1037";"487";1
"505516";"10";"488";1
"505617";"111";"488";1
"505685";"179";"488";1
"505986";"480";"488";1
"506059";"553";"488";1
"506156";"650";"488";1
"506304";"798";"488";1
"507401";"857";"489";1
"507808";"226";"490";1
"508160";"578";"490";1
"508181";"599";"490";1
"508896";"276";"491";1
"509030";"410";"491";1
"509688";"30";"492";1
"509749";"91";"492";1
"510472";"814";"492";1
"510535";"877";"492";1
"510582";"924";"492";1
"510598";"940";"492";1
"510731";"35";"493";1
"510889";"193";"493";1
"511178";"482";"493";1
"511224";"528";"493";1
"511589";"893";"493";1
"511766";"32";"494";1
"512091";"357";"494";1
"512592";"858";"494";1
"513169";"397";"495";1
"513633";"861";"495";1
"513841";"31";"496";1
"514187";"377";"496";1
"514387";"577";"496";1
"514667";"857";"496";1
"514973";"125";"497";1
"515320";"472";"497";1
"515470";"622";"497";1
"516607";"721";"498";1
"516693";"807";"498";1
"516972";"48";"499";1
"517326";"402";"499";1
"517847";"923";"499";1
"518017";"55";"500";1
"518049";"87";"500";1
"518750";"788";"500";1
"519045";"45";"501";1
"519626";"626";"501";1
"519652";"652";"501";1
"519672";"672";"501";1
"520305";"267";"502";1
"520354";"316";"502";1
"520387";"349";"502";1
"521363";"287";"503";1
"521415";"339";"503";1
"521718";"642";"503";1
"521907";"831";"503";1
"522005";"929";"503";1
"522992";"878";"504";1
"523468";"316";"505";1
"523752";"600";"505";1
"523857";"705";"505";1
"523889";"737";"505";1
"523920";"768";"505";1
"524424";"234";"506";1
"524643";"453";"506";1
"524765";"575";"506";1
"525072";"882";"506";1
"525765";"537";"507";1
"525972";"744";"507";1
"527056";"790";"508";1
"527191";"925";"508";1
"527420";"116";"509";1
"527494";"190";"509";1
"527891";"587";"509";1
"528017";"713";"509";1
"528119";"815";"509";1
"528284";"980";"509";1
"528443";"101";"510";1
"528489";"147";"510";1
"528889";"547";"510";1
"529192";"850";"510";1
"530850";"432";"512";1
"531244";"826";"512";1
"531654";"198";"513";1
"531803";"347";"513";1
"531991";"535";"513";1
"532417";"961";"513";1
"532455";"999";"513";1
"532766";"272";"514";1
"533064";"570";"514";1
"533209";"715";"514";1
"534082";"550";"515";1
"534307";"775";"515";1
"534589";"19";"516";1
"534801";"231";"516";1
"534835";"265";"516";1
"535171";"601";"516";1
"535193";"623";"516";1
"535852";"244";"517";1
"536584";"976";"517";1
"536913";"267";"518";1
"536962";"316";"518";1
"537148";"502";"518";1
"537466";"820";"518";1
"537918";"234";"519";1
"538259";"575";"519";1
"538296";"612";"519";1
"538769";"47";"520";1
"538919";"197";"520";1
"539183";"461";"520";1
"539626";"904";"520";1
"540039";"279";"521";1
"540308";"548";"521";1
"540676";"916";"521";1
"540754";"994";"521";1
"541069";"271";"522";1
"541930";"94";"523";1
"542895";"21";"524";1
"543991";"79";"525";1
"544134";"222";"525";1
"544196";"284";"525";1
"545239";"289";"526";1
"545270";"320";"526";1
"545321";"371";"526";1
"545620";"670";"526";1
"545816";"866";"526";1
"545907";"957";"526";1
"546014";"26";"527";1
"546044";"56";"527";1
"546115";"127";"527";1
"546243";"255";"527";1
"546965";"977";"527";1
"547119";"93";"528";1
"547241";"215";"528";1
"547323";"297";"528";1
"547881";"855";"528";1
"547919";"893";"528";1
"548305";"241";"529";1
"549307";"205";"530";1
"549334";"232";"530";1
"549364";"262";"530";1
"549385";"283";"530";1
"549474";"372";"530";1
"549485";"383";"530";1
"549769";"667";"530";1
"549878";"776";"530";1
"550030";"928";"530";1
"550365";"225";"531";1
"550846";"706";"531";1
"550891";"751";"531";1
"551339";"161";"532";1
"551423";"245";"532";1
"551590";"412";"532";1
"551734";"556";"532";1
"551744";"566";"532";1
"551796";"618";"532";1
"552152";"974";"532";1
"552809";"593";"533";1
"553305";"51";"534";1
"553329";"75";"534";1
"553594";"340";"534";1
"553598";"344";"534";1
"553897";"643";"534";1
"553903";"649";"534";1
"554065";"811";"534";1
"554128";"874";"534";1
"554249";"995";"534";1
"554327";"35";"535";1
"554594";"302";"535";1
"554630";"338";"535";1
"554746";"454";"535";1
"555063";"771";"535";1
"555143";"851";"535";1
"555769";"439";"536";1
"556056";"726";"536";1
"556379";"11";"537";1
"556489";"121";"537";1
"556627";"259";"537";1
"557063";"695";"537";1
"558664";"220";"539";1
"558957";"513";"539";1
"558959";"515";"539";1
"559582";"100";"540";1
"559591";"109";"540";1
"559632";"150";"540";1
"559736";"254";"540";1
"560144";"662";"540";1
"560448";"966";"540";1
"561330";"810";"541";1
"561523";"1003";"541";1
"561568";"10";"542";1
"561887";"329";"542";1
"562123";"565";"542";1
"562190";"632";"542";1
"562473";"915";"542";1
"562545";"987";"542";1
"562628";"32";"543";1
"562890";"294";"543";1
"562902";"306";"543";1
"562931";"335";"543";1
"563030";"434";"543";1
"563913";"279";"544";1
"564023";"389";"544";1
"564364";"730";"544";1
"564628";"994";"544";1
"564665";"1031";"544";1
"564724";"52";"545";1
"564968";"296";"545";1
"565027";"355";"545";1
"565375";"703";"545";1
"565691";"1019";"545";1
"566049";"339";"546";1
"566960";"212";"547";1
"567082";"334";"547";1
"567258";"510";"547";1
"567297";"549";"547";1
"567357";"609";"547";1
"567377";"629";"547";1
"567450";"702";"547";1
"567552";"804";"547";1
"567573";"825";"547";1
"567643";"895";"547";1
"567665";"917";"547";1
"569719";"895";"549";1
"570377";"515";"550";1
"570637";"775";"550";1
"571281";"381";"551";1
"571352";"452";"551";1
"571717";"817";"551";1
"572037";"99";"552";1
"572545";"607";"552";1
"573155";"179";"553";1
"573452";"476";"553";1
"573692";"716";"553";1
"574049";"35";"554";1
"574290";"276";"554";1
"574507";"493";"554";1
"574881";"867";"554";1
"575000";"986";"554";1
"575288";"236";"555";1
"575668";"616";"555";1
"575692";"640";"555";1
"575737";"685";"555";1
"575811";"759";"555";1
"576140";"50";"556";1
"576385";"295";"556";1
"576853";"763";"556";1
"577181";"53";"557";1
"578044";"916";"557";1
"578317";"151";"558";1
"578908";"742";"558";1
"578979";"813";"558";1
"579074";"908";"558";1
"579163";"997";"558";1
"579278";"74";"559";1
"579951";"747";"559";1
"580412";"170";"560";1
"580622";"380";"560";1
"580687";"445";"560";1
"582542";"224";"562";1
"582572";"254";"562";1
"582711";"393";"562";1
"582712";"394";"562";1
"582928";"610";"562";1
"584004";"648";"563";1
"584116";"760";"563";1
"584215";"859";"563";1
"584459";"65";"564";1
"584508";"114";"564";1
"585015";"621";"564";1
"585267";"873";"564";1
"585578";"146";"565";1
"585609";"177";"565";1
"585745";"313";"565";1
"586631";"161";"566";1
"586715";"245";"566";1
"587002";"532";"566";1
"587026";"556";"566";1
"587088";"618";"566";1
"587444";"974";"566";1
"587790";"282";"567";1
"588168";"660";"567";1
"588712";"166";"568";1
"588906";"360";"568";1
"588932";"386";"568";1
"589013";"467";"568";1
"589260";"714";"568";1
"589391";"845";"568";1
"590217";"633";"569";1
"590295";"711";"569";1
"590371";"787";"569";1
"590519";"935";"569";1
"590894";"272";"570";1
"591070";"448";"570";1
"591136";"514";"570";1
"591337";"715";"570";1
"591367";"745";"570";1
"591669";"9";"571";1
"592091";"431";"571";1
"592379";"719";"571";1
"592462";"802";"571";1
"593106";"408";"572";1
"593492";"794";"572";1
"593507";"809";"572";1
"594756";"1020";"573";1
"594759";"1023";"573";1
"594818";"44";"574";1
"595085";"311";"574";1
"595177";"403";"574";1
"595201";"427";"574";1
"595762";"988";"574";1
"596046";"234";"575";1
"596216";"404";"575";1
"596315";"503";"575";1
"596318";"506";"575";1
"596331";"519";"575";1
"596345";"533";"575";1
"596405";"593";"575";1
"596605";"793";"575";1
"596694";"882";"575";1
"597009";"159";"576";1
"597085";"235";"576";1
"597089";"239";"576";1
"597175";"325";"576";1
"597348";"498";"576";1
"597571";"721";"576";1
"597853";"1003";"576";1
"598384";"496";"577";1
"598691";"803";"577";1
"598851";"963";"577";1
"599152";"226";"578";1
"599416";"490";"578";1
"599599";"673";"578";1
"600007";"43";"579";1
"600224";"260";"579";1
"601147";"145";"580";1
"601249";"247";"580";1
"601700";"698";"580";1
"602001";"999";"580";1
"603778";"700";"582";1
"603800";"722";"582";1
"604201";"85";"583";1
"604715";"599";"583";1
"604781";"665";"583";1
"604791";"675";"583";1
"604862";"746";"583";1
"604920";"804";"583";1
"605019";"903";"583";1
"605387";"233";"584";1
"605625";"471";"584";1
"605994";"840";"584";1
"606137";"983";"584";1
"606277";"85";"585";1
"606383";"191";"585";1
"606556";"364";"585";1
"606583";"391";"585";1
"606587";"395";"585";1
"606774";"582";"585";1
"606914";"722";"585";1
"607063";"871";"585";1
"608168";"938";"586";1
"608276";"8";"587";1
"608913";"645";"587";1
"609586";"280";"588";1
"610318";"1012";"588";1
"610593";"249";"589";1
"610822";"478";"589";1
"611013";"669";"589";1
"611180";"836";"589";1
"611197";"853";"589";1
"611337";"993";"589";1
"611801";"419";"590";1
"612893";"473";"591";1
"613042";"622";"591";1
"613162";"742";"591";1
"613417";"997";"591";1
"613616";"158";"592";1
"613776";"318";"592";1
"613809";"351";"592";1
"613920";"462";"592";1
"614094";"636";"592";1
"614170";"712";"592";1
"614920";"424";"593";1
"615029";"533";"593";1
"615034";"538";"593";1
"615234";"738";"593";1
"615987";"453";"594";1
"616499";"965";"594";1
"616597";"25";"595";1
"617020";"448";"595";1
"617142";"570";"595";1
"617623";"13";"596";1
"617732";"122";"596";1
"617796";"186";"596";1
"617988";"378";"596";1
"618563";"953";"596";1
"618951";"303";"597";1
"619453";"805";"597";1
"619633";"985";"597";1
"619885";"199";"598";1
"620473";"787";"598";1
"620610";"924";"598";1
"620621";"935";"598";1
"620758";"34";"599";1
"620881";"157";"599";1
"620950";"226";"599";1
"620990";"266";"599";1
"621180";"456";"599";1
"621214";"490";"599";1
"621307";"583";"599";1
"621389";"665";"599";1
"621627";"903";"599";1
"622127";"365";"600";1
"622267";"505";"600";1
"622499";"737";"600";1
"622530";"768";"600";1
"622582";"820";"600";1
"623000";"200";"601";1
"623031";"231";"601";1
"623316";"516";"601";1
"623885";"47";"602";1
"624687";"849";"602";1
"625543";"667";"603";1
"625631";"755";"603";1
"625700";"824";"603";1
"626664";"750";"604";1
"626744";"830";"604";1
"627004";"52";"605";1
"627007";"55";"605";1
"627192";"240";"605";1
"627364";"412";"605";1
"627655";"703";"605";1
"627831";"879";"605";1
"627854";"902";"605";1
"628318";"328";"606";1
"628659";"669";"606";1
"628717";"727";"606";1
"629127";"99";"607";1
"629580";"552";"607";1
"630809";"743";"608";1
"632345";"203";"610";1
"632431";"289";"610";1
"632668";"526";"610";1
"632927";"785";"610";1
"633209";"29";"611";1
"634105";"925";"611";1
"634193";"1013";"611";1
"634856";"638";"612";1
"634902";"684";"612";1
"635193";"975";"612";1
"635384";"128";"613";1
"635568";"312";"613";1
"635875";"619";"613";1
"635935";"679";"613";1
"636183";"927";"613";1
"637227";"933";"614";1
"637246";"952";"614";1
"637264";"970";"614";1
"637319";"1025";"614";1
"637487";"155";"615";1
"638242";"910";"615";1
"638316";"984";"615";1
"638925";"555";"616";1
"639682";"274";"617";1
"639813";"405";"617";1
"641012";"566";"618";1
"641029";"583";"618";1
"641907";"423";"619";1
"642153";"669";"619";1
"642477";"993";"619";1
"642542";"20";"620";1
"642640";"118";"620";1
"642799";"277";"620";1
"642843";"321";"620";1
"642973";"451";"620";1
"643227";"705";"620";1
"643390";"868";"620";1
"643674";"114";"621";1
"644124";"564";"621";1
"645122";"524";"622";1
"645471";"873";"622";1
"645506";"908";"622";1
"646359";"723";"623";1
"646641";"1005";"623";1
"646658";"1022";"623";1
"647087";"413";"624";1
"647319";"645";"624";1
"647387";"713";"624";1
"647658";"984";"624";1
"648054";"342";"625";1
"648243";"531";"625";1
"648322";"610";"625";1
"648539";"827";"625";1
"648820";"70";"626";1
"649130";"380";"626";1
"649170";"420";"626";1
"649402";"652";"626";1
"650089";"301";"627";1
"650182";"394";"627";1
"650215";"427";"627";1
"650774";"986";"627";1
"651116";"290";"628";1
"651938";"74";"629";1
"652117";"253";"629";1
"652260";"396";"629";1
"652473";"609";"629";1
"652834";"970";"629";1
"652844";"980";"629";1
"652907";"5";"630";1
"653020";"118";"630";1
"653035";"133";"630";1
"653331";"429";"630";1
"653800";"898";"630";1
"654698";"758";"631";1
"654907";"967";"631";1
"655520";"542";"632";1
"655543";"565";"632";1
"655622";"644";"632";1
"655881";"903";"632";1
"655893";"915";"632";1
"656390";"374";"633";1
