"";"from";"to";"value"
"81991";"1027";"79";1
"82149";"147";"80";1
"82186";"184";"80";1
"82263";"261";"80";1
"82270";"268";"80";1
"82641";"639";"80";1
"83074";"34";"81";1
"83143";"103";"81";1
"83496";"456";"81";1
"83700";"660";"81";1
"83717";"677";"81";1
"84270";"192";"82";1
"84295";"217";"82";1
"84340";"262";"82";1
"84366";"288";"82";1
"84410";"332";"82";1
"84460";"382";"82";1
"84563";"485";"82";1
"84852";"774";"82";1
"84855";"777";"82";1
"85757";"641";"83";1
"85992";"876";"83";1
"86016";"900";"83";1
"86065";"949";"83";1
"86092";"976";"83";1
"86693";"539";"84";1
"87023";"869";"84";1
"87033";"879";"84";1
"87556";"364";"85";1
"87583";"391";"85";1
"87587";"395";"85";1
"87777";"585";"85";1
"89379";"111";"87";1
"89462";"194";"87";1
"89653";"385";"87";1
"90318";"12";"88";1
"90431";"125";"88";1
"90588";"282";"88";1
"90705";"399";"88";1
"90779";"473";"88";1
"90887";"581";"88";1
"90897";"591";"88";1
"91475";"131";"89";1
"92390";"8";"90";1
"92426";"44";"90";1
"92727";"345";"90";1
"92752";"370";"90";1
"92810";"428";"90";1
"92941";"559";"90";1
"93109";"727";"90";1
"94524";"66";"92";1
"94601";"143";"92";1
"94721";"263";"92";1
"94784";"326";"92";1
"94850";"392";"92";1
"95045";"587";"92";1
"95215";"757";"92";1
"95225";"767";"92";1
"95241";"783";"92";1
"95367";"909";"92";1
"95814";"318";"93";1
"95982";"486";"93";1
"96629";"95";"94";1
"96967";"433";"94";1
"97057";"523";"94";1
"97114";"580";"94";1
"97223";"689";"94";1
"97276";"742";"94";1
"97362";"828";"94";1
"97386";"852";"94";1
"98746";"136";"96";1
"98817";"207";"96";1
"99389";"779";"96";1
"99651";"3";"97";1
"99886";"238";"97";1
"100071";"423";"97";1
"100074";"426";"97";1
"100510";"862";"97";1
"100710";"24";"98";1
"101086";"400";"98";1
"101341";"655";"98";1
"101450";"764";"98";1
"102871";"109";"100";1
"102912";"150";"100";1
"102978";"216";"100";1
"103302";"540";"100";1
"103723";"961";"100";1
"103728";"966";"100";1
"104148";"348";"101";1
"104310";"510";"101";1
"104409";"609";"101";1
"104650";"850";"101";1
"104733";"933";"101";1
"104813";"1013";"101";1
"104831";"1031";"101";1
"104991";"153";"102";1
"105102";"264";"102";1
"105573";"735";"102";1
"105957";"81";"103";1
"105995";"119";"103";1
"106171";"295";"103";1
"106247";"371";"103";1
"106306";"430";"103";1
"106671";"795";"103";1
"106820";"944";"103";1
"107283";"369";"104";1
"108207";"255";"105";1
"108660";"708";"105";1
"108864";"912";"105";1
"109191";"201";"106";1
"109284";"294";"106";1
"109424";"434";"106";1
"109533";"543";"106";1
"110176";"148";"107";1
"110263";"235";"107";1
"110402";"374";"107";1
"110492";"464";"107";1
"110689";"661";"107";1
"111142";"76";"108";1
"111231";"165";"108";1
"111324";"258";"108";1
"111435";"369";"108";1
"111876";"810";"108";1
"112833";"729";"109";1
"113070";"966";"109";1
"114267";"87";"111";1
"114329";"149";"111";1
"114532";"352";"111";1
"114741";"561";"111";1
"115908";"690";"112";1
"116457";"201";"113";1
"116973";"717";"113";1
"117858";"564";"114";1
"117915";"621";"114";1
"118371";"39";"115";1
"118536";"204";"115";1
"118700";"368";"115";1
"118963";"631";"115";1
"119132";"800";"115";1
"119879";"509";"116";1
"120148";"778";"116";1
"120185";"815";"116";1
"120349";"979";"116";1
"120533";"125";"117";1
"120559";"151";"117";1
"121779";"333";"118";1
"121849";"403";"118";1
"121875";"429";"118";1
"122020";"574";"118";1
"122044";"598";"118";1
"122546";"62";"119";1
"122575";"91";"119";1
"122683";"199";"119";1
"122844";"360";"119";1
"122914";"430";"119";1
"123627";"105";"120";1
"125097";"537";"121";1
"125304";"744";"121";1
"125309";"749";"121";1
"125454";"894";"121";1
"125940";"342";"122";1
"125977";"379";"122";1
"126799";"163";"123";1
"126844";"208";"123";1
"127230";"594";"123";1
"127474";"838";"123";1
"127904";"230";"124";1
"128366";"692";"124";1
"128829";"117";"125";1
"129209";"497";"125";1
"129303";"591";"125";1
"129452";"740";"125";1
"130558";"808";"126";1
"130739";"989";"126";1
"130814";"26";"127";1
"131684";"896";"127";1
"131765";"977";"127";1
"131996";"170";"128";1
"132439";"613";"128";1
"132505";"679";"128";1
"132647";"821";"128";1
"132731";"905";"128";1
"132753";"927";"128";1
"132930";"66";"129";1
"132984";"120";"129";1
"133078";"214";"129";1
"133466";"602";"129";1
"133623";"759";"129";1
"133713";"849";"129";1
"133959";"57";"130";1
"134054";"152";"130";1
"134162";"260";"130";1
"134684";"782";"130";1
"134709";"807";"130";1
"134716";"814";"130";1
"135029";"89";"131";1
"135986";"8";"132";1
"136068";"90";"132";1
"136323";"345";"132";1
"136537";"559";"132";1
"136725";"747";"132";1
"138224";"170";"134";1
"138294";"240";"134";1
"138927";"873";"134";1
"138937";"883";"134";1
"138939";"885";"134";1
"138959";"905";"134";1
"139022";"968";"134";1
"139234";"142";"135";1
"139916";"824";"135";1
"140222";"92";"136";1
"140226";"96";"136";1
"140337";"207";"136";1
"140827";"697";"136";1
"141429";"261";"137";1
"141449";"281";"137";1
"141842";"674";"137";1
"142222";"16";"138";1
"142998";"792";"138";1
"143007";"801";"138";1
"144541";"259";"140";1
"144670";"388";"140";1
"144977";"695";"140";1
"145323";"3";"141";1
"145571";"251";"141";1
"145625";"305";"141";1
"145682";"362";"141";1
"145977";"657";"141";1
"146006";"686";"141";1
"146056";"736";"141";1
"146141";"821";"141";1
"146263";"943";"141";1
"146732";"374";"142";1
"148305";"909";"143";1
"148446";"12";"144";1
"148538";"104";"144";1
"149611";"139";"145";1
"149678";"206";"145";1
"149893";"421";"145";1
"150022";"550";"145";1
"150337";"865";"145";1
"150390";"918";"145";1
"150462";"990";"145";1
"150687";"177";"146";1
"150823";"313";"146";1
"151628";"80";"147";1
"151896";"348";"147";1
"151963";"415";"147";1
"152180";"632";"147";1
"152608";"22";"148";1
"152614";"28";"148";1
"153247";"661";"148";1
"153735";"111";"149";1
"154185";"561";"149";1
"154488";"864";"149";1
"154916";"254";"150";1
"155202";"540";"150";1
"155324";"662";"150";1
"155348";"686";"150";1
"155817";"117";"151";1
"156742";"4";"152";1
"156795";"57";"152";1
"156868";"130";"152";1
"157063";"325";"152";1
"157410";"672";"152";1
"157545";"807";"152";1
"157878";"102";"153";1
"158903";"89";"154";1
"158945";"131";"154";1
"159039";"225";"154";1
"159259";"445";"154";1
"159346";"532";"154";1
"159510";"696";"154";1
"159520";"706";"154";1
"159725";"911";"154";1
"159789";"975";"154";1
"159797";"983";"154";1
"159826";"1012";"154";1
"160265";"413";"155";1
"160467";"615";"155";1
"160762";"910";"155";1
"160836";"984";"155";1
"160890";"1038";"155";1
"161111";"221";"156";1
"161538";"648";"156";1
"161623";"733";"156";1
"161691";"801";"156";1
"161774";"884";"156";1
"163377";"411";"158";1
"163432";"466";"158";1
"163558";"592";"158";1
"163588";"622";"158";1
"163728";"762";"158";1
"164023";"19";"159";1
"164044";"40";"159";1
"164199";"195";"159";1
"164243";"239";"159";1
"164483";"479";"159";1
"164580";"576";"159";1
"164583";"579";"159";1
"164806";"802";"159";1
"165362";"320";"160";1
"165389";"347";"160";1
"165404";"362";"160";1
"165457";"415";"160";1
"165867";"825";"160";1
"165883";"841";"160";1
"165999";"957";"160";1
"166646";"566";"161";1
"166698";"618";"161";1
"167550";"432";"162";1
"167630";"512";"162";1
"167764";"646";"162";1
"168279";"123";"163";1
"168364";"208";"163";1
"168750";"594";"163";1
"168909";"753";"163";1
"168964";"808";"163";1
"169121";"965";"163";1
"169553";"359";"164";1
"169616";"422";"164";1
"169894";"700";"164";1
"170292";"60";"165";1
"170311";"79";"165";1
"170340";"108";"165";1
"170601";"369";"165";1
"171022";"790";"165";1
"171042";"810";"165";1
"171157";"925";"165";1
"171287";"17";"166";1
"171567";"297";"166";1
"171656";"386";"166";1
"171686";"416";"166";1
"171838";"568";"166";1
"171984";"714";"166";1
"172614";"306";"167";1
"172742";"434";"167";1
"174315";"969";"168";1
"174337";"991";"168";1
"174370";"1024";"168";1
"174849";"465";"169";1
"175550";"128";"170";1
"175556";"134";"170";1
"175982";"560";"170";1
"176258";"836";"170";1
"176812";"352";"171";1
"177637";"139";"172";1
"178453";"955";"172";1
"178909";"373";"173";1
"179033";"497";"173";1
"179276";"740";"173";1
"179312";"776";"173";1
"179886";"312";"174";1
"179975";"401";"174";1
"180041";"467";"174";1
"180710";"98";"175";1
"180853";"241";"175";1
"181083";"471";"175";1
"181267";"655";"175";1
"181356";"744";"175";1
"181361";"749";"175";1
"181376";"764";"175";1
"182549";"899";"176";1
"182632";"982";"176";1
"182834";"146";"177";1
"183001";"313";"177";1
"183253";"565";"177";1
"183359";"671";"177";1
"183659";"971";"177";1
"183755";"29";"178";1
"183909";"183";"178";1
"184227";"501";"178";1
"184470";"744";"178";1
"184516";"790";"178";1
"184875";"111";"179";1
"185252";"488";"179";1
"185306";"542";"179";1
"185317";"553";"179";1
"185414";"650";"179";1
"185480";"716";"179";1
"185507";"743";"179";1
"186764";"962";"180";1
"187063";"223";"181";1
"187096";"256";"181";1
"187143";"303";"181";1
"187173";"333";"181";1
"187275";"435";"181";1
"188265";"387";"182";1
"188582";"704";"182";1
"188600";"722";"182";1
"188867";"989";"182";1
"189094";"178";"183";1
"189355";"439";"183";1
"189417";"501";"183";1
"189452";"536";"183";1
"189642";"726";"183";1
"189858";"942";"183";1
"190215";"261";"184";1
"190441";"487";"184";1
"190593";"639";"184";1
"191283";"291";"185";1
"191948";"956";"185";1
"191977";"985";"185";1
"192447";"417";"186";1
"192626";"596";"186";1
"192707";"677";"186";1
"192836";"806";"186";1
"193857";"789";"187";1
"194002";"934";"187";1
"194459";"353";"188";1
"194835";"729";"188";1
"195027";"921";"188";1
"195207";"63";"189";1
"195786";"642";"189";1
"196086";"942";"189";1
"196242";"60";"190";1
"196522";"340";"190";1
"196716";"534";"190";1
"196914";"732";"190";1
"196997";"815";"190";1
"197056";"874";"190";1
"197162";"980";"190";1
"197177";"995";"190";1
"197584";"364";"191";1
"197611";"391";"191";1
"197615";"395";"191";1
"197805";"585";"191";1
"198090";"870";"191";1
"198257";"1037";"191";1
"198550";"292";"192";1
"198599";"341";"192";1
"198660";"402";"192";1
"199256";"998";"192";1
"199389";"93";"193";1
"199932";"636";"193";1
"201376";"4";"195";1
"201531";"159";"195";1
"201611";"239";"195";1
"202201";"829";"195";1
"202448";"38";"196";1
"202589";"179";"196";1
"202653";"243";"196";1
"202746";"336";"196";1
"202785";"375";"196";1
"203018";"608";"196";1
"203126";"716";"196";1
"203153";"743";"196";1
"203349";"939";"196";1
"203368";"958";"196";1
"203495";"47";"197";1
"203580";"132";"197";1
"203909";"461";"197";1
"203968";"520";"197";1
"204352";"904";"197";1
"204823";"337";"198";1
"206566";"4";"200";1
"207163";"601";"200";1
"207185";"623";"200";1
"207223";"661";"200";1
"207628";"28";"201";1
"207713";"113";"201";1
"209347";"709";"202";1
"209977";"301";"203";1
"210141";"465";"203";1
"210286";"610";"203";1
"210303";"627";"203";1
"210461";"785";"203";1
"210829";"115";"204";1
"211014";"300";"204";1
"211194";"480";"204";1
"211387";"673";"204";1
"211637";"923";"204";1
"211822";"70";"205";1
"211984";"232";"205";1
"212135";"383";"205";1
"212282";"530";"205";1
"212935";"145";"206";1
"213010";"220";"206";1
"213211";"421";"206";1
"213303";"513";"206";1
"213340";"550";"206";1
"213370";"580";"206";1
"213419";"629";"206";1
"213488";"698";"206";1
"213655";"865";"206";1
"213708";"918";"206";1
"213780";"990";"206";1
"213924";"96";"207";1
"214070";"242";"207";1
"214718";"890";"207";1
"214989";"123";"208";1
"215029";"163";"208";1
"215513";"647";"208";1
"215941";"37";"209";1
"216616";"712";"209";1
"216741";"837";"209";1
"218645";"665";"211";1
"219089";"71";"212";1
"219265";"247";"212";1
"219403";"385";"212";1
"219417";"399";"212";1
"219503";"485";"212";1
"219736";"718";"212";1
"220006";"988";"212";1
"220842";"786";"213";1
"220891";"835";"213";1
"221101";"7";"214";1
"222133";"1";"215";1
"222341";"209";"215";1
"222430";"298";"215";1
"222483";"351";"215";1
"222618";"486";"215";1
"222969";"837";"215";1
"222987";"855";"215";1
"223438";"268";"216";1
"223550";"380";"216";1
"223615";"445";"216";1
"223734";"564";"216";1
"224279";"71";"217";1
"224290";"82";"217";1
"224420";"212";"217";1
"224590";"382";"217";1
"224984";"776";"217";1
"225059";"851";"217";1
"226289";"5";"219";1
"226464";"180";"219";1
"227102";"818";"219";1
"227262";"978";"219";1
"227528";"206";"220";1
"227743";"421";"220";1
"228312";"990";"220";1
"228588";"228";"221";1
